thai,category,english,informal_ref,tltk_roman,tltk_ipa,pythainlp_royin,pythainlp_thai2rom,pythainlp_lookup,iso_11940
สวัสดี,common,hello,sawatdee,sawatdi,sa2.wat2.diː1,satti,ERROR: No module named 'torch',satti,s̄wạs̄dī
ขอบคุณ,common,thank you,khopkhun,khopkhun,kʰᴐːp2.kʰun1,khopkun,ERROR: No module named 'torch',khopkun,k̄hxbkhuṇ
ใช่,common,yes,chai,chai,cʰaj3,chai,ERROR: No module named 'torch',chai,ıch̀
ไม่,common,no,mai,mai,maj3,mai,ERROR: No module named 'torch',mai,ịm̀
เป็น,common,to be,pen,pen,pen1,pen,ERROR: No module named 'torch',pen,ep̆n
ได้,common,can/get,dai,dai,daːj3,dai,ERROR: No module named 'torch',dai,ịd̂
อะไร,common,what,arai,arai,ʔa2.raj1,anai,ERROR: No module named 'torch',anai,xaịr
ทำไม,common,why,tammai,thammai,tʰam1.maj1,thammai,ERROR: No module named 'torch',thammai,thåịm
คน,common,person,khon,khon,kʰon1,khon,ERROR: No module named 'torch',khon,khn
บ้าน,common,house,baan,ban,baːn3,ban,ERROR: No module named 'torch',ban,b̂ān
ข้าว,food,rice,khao,khao,kʰaːw3,khao,ERROR: No module named 'torch',khao,k̄ĥāw
น้ำ,food,water,nam,nam,naːm4,nam,ERROR: No module named 'torch',nam,n̂å
ผัดไทย,food,pad thai,phat thai,phatthai,pʰat2.tʰaj1,phattai,ERROR: No module named 'torch',phattai,p̄hạdịthy
ต้มยำกุ้ง,food,tom yum goong,tomyamkung,tomyamkung,tom3.jam1.kuŋ3,tmamkung,ERROR: No module named 'torch',tmamkung,t̂myåkûng
ส้มตำ,food,som tam,somtam,somtam,som3.tam1,smtam,ERROR: No module named 'torch',smtam,s̄̂mtå
กาแฟ,food,coffee,kafae,kafae,kaː1.fɛː1,kapae,ERROR: No module named 'torch',kapae,kāæf
เบียร์,food,beer,bia,bia,biːa1,bia,ERROR: No module named 'torch',beer,ebīyr̒
ชา,food,tea,cha,cha,cʰaː1,cha,ERROR: No module named 'torch',cha,chā
ไก่,food,chicken,kai,kai,kaj2,kai,ERROR: No module named 'torch',kai,ịk̀
หมู,food,pork,moo,mu,muː5,mu,ERROR: No module named 'torch',mu,h̄mū
กรุงเทพ,places,Bangkok,krungthep,krungthep,kruŋ1.tʰeːp3,knungtep,ERROR: No module named 'torch',knungtep,krungethph
เชียงใหม่,places,Chiang Mai,chiangmai,chiangmai,cʰiːaŋ1.maj2,chiangaim,ERROR: No module named 'torch',chiangaim,echīyngıh̄m̀
ภูเก็ต,places,Phuket,phuket,phuket,pʰuː1.ket2,phuket,ERROR: No module named 'torch',phuket,p̣hūek̆t
