component_type,component,count
onset,s,118
onset,ch,109
onset,n,104
onset,kh,102
onset,th,101
onset,r,99
onset,k,94
onset,m,76
onset,t,71
onset,ph,70
onset,d,64
onset,l,56
onset,y,54
onset,(none),54
onset,b,42
onset,h,36
onset,p,32
onset,w,30
onset,pr,23
onset,khr,17
onset,kl,16
onset,ng,15
onset,f,10
onset,-,9
onset,kr,7
onset,tr,6
onset,phr,5
onset,pl,5
onset,fr,1
onset,ๆ,1
vowel,a,444
vowel,o,183
vowel,i,139
vowel,ai,112
vowel,u,75
vowel,e,59
vowel,ae,58
vowel,ue,42
vowel,ao,40
vowel,ua,35
vowel,oe,28
vowel,uea,25
vowel,ia,19
vowel,oi,13
vowel,(none),12
vowel,iao,12
vowel,ana,11
vowel,uai,9
vowel,wa,7
vowel,aeo,6
vowel,attha,5
vowel,oei,4
vowel,ori,4
vowel,io,4
vowel,ano,3
vowel,amma,3
vowel,ala,3
vowel,sa,3
vowel,aha,2
vowel,aya,2
vowel,adi,2
vowel,attra,2
vowel,anoe,2
vowel,apho,2
vowel,anu,2
vowel,ama,2
vowel,apha,2
vowel,acha,2
vowel,aroi,1
vowel,ing chi,1
vowel,ang ta,1
vowel,ora,1
vowel,okka,1
vowel,abai,1
vowel,alo,1
vowel,ukkha,1
vowel,uen ue,1
vowel,umnu,1
vowel,asa,1
vowel,ippa,1
vowel,aoba,1
vowel,aru,1
vowel,unna,1
vowel,um,1
vowel,ayo,1
vowel,eo,1
vowel,la,1
vowel,aba,1
vowel,iwi,1
vowel,itcha,1
vowel, ,1
vowel,at,1
vowel,atai,1
vowel,ari,1
vowel,aso,1
vowel,le,1
vowel,athana,1
vowel,ettha,1
vowel,anue,1
vowel,ueai rueai,1
vowel,anutsaya,1
vowel,enka,1
vowel,ui,1
vowel,ittha,1
vowel,it ni,1
vowel,adae,1
vowel,atha,1
vowel,ali,1
vowel,ura,1
vowel,ai ngai,1
vowel,amo,1
vowel,uamo,1
vowel,ate,1
vowel,asai,1
vowel,pai,1
vowel,akri,1
vowel,ani,1
coda,(none),660
coda,n,218
coda,ng,160
coda,m,113
coda,t,110
coda,k,98
coda,p,64
coda,c,3
coda,ๆ,1
