component,count,examples,valid
s,118,สั่ง=sang (สั่ง); ซึ่ง=sueng (ซึ่ง); ส่วน=suan (ส่วน); สา=sa (สามารถ); สา=sa (สาขา),y
ch,109,จะ=cha (จะ); จาก=chak (จาก); ใช้=chai (ใช้); ชาติ=chat (รสชาติ); ชอบ=chop (ชอบ),y
n,104,ใน=nai (ใน); นี้=ni (นี้); นะ=na (นะ); นู=nu (เมนู); น้ำ=nam (น้ำ),y
kh,102,ของ=khong (ของ); ค่ะ=kha (ค่ะ); คน=khon (คน); คือ=khue (คือ); คา=kha (ราคา),y
th,101,ที่=thi (ที่); ทาน=than (ทาน); ถ้า=tha (ถ้า); ไทย=thai (ไทย); ทำ=tham (ทำ),y
r,99,ร้าน=ran (ร้าน); เรา=rao (เรา); หรือ=rue (หรือ); รา=ra (ราคา); รส=rot (รสชาติ),y
k,94,ก็=ko (ก็); การ=kan (การ); กับ=kap (กับ); กิน=kin (กิน); กัน=kan (กัน),y
m,76,ไม่=mai (ไม่); มี=mi (มี); มา=ma (มา); มาก=mak (มาก); มัน=man (มัน),y
t,71,แต่=tae (แต่); ต้อง=tong (ต้อง); ต่อ=to (ต่อ); ตัว=tua (ตัว); ตาม=tam (ตาม),y
ph,70,ผม=phom (ผม); เพื่อ=phuea (เพื่อ); พอ=pho (พอ); ผู้=phu (ผู้); แพง=phaeng (แพง),y
d,64,ได้=dai (ได้); ดี=di (ดี); ด้วย=duai (ด้วย); โดย=doi (โดย); ดู=du (ดู),y
l,56,และ=lae (และ); เลย=loei (เลย); แล้ว=laeo (แล้ว); ลอง=long (ลอง); ละ=la (ละ),y
y,54,อยู่=yu (อยู่); อย่าง=yang (อย่าง); ยัง=yang (ยัง); อยาก=yak (อยาก); เยอะ=yoe (เยอะ),y
(none),54,อร่อย=aroi (อร่อย); อีก=ik (อีก); อา=a (อาหาร); อะ=a (อะไร); เอา=ao (เอา),y
b,42,แบบ=baep (แบบ); บาท=bat (บาท); เบียร์=bia (เบียร์); บริ=bori (บริการ); บอก=bok (บอก),y
h,36,ให้=hai (ให้); หาร=han (อาหาร); เห็น=hen (เห็น); ให้=hai (ทำให้); ชน=hon (ประชาชน),y
p,32,ไป=pai (ไป); เป็น=pen (เป็น); ปี=pi (ปี); เปิด=poet (เปิด); แป้ง=paeng (แป้ง),y
w,30,ว่า=wa (ว่า); วัน=wan (วันนี้); วัน=wan (วัน); ไว้=wai (ไว้); หวาน=wan (หวาน),y
pr,23,ประ=pra (ประเทศ); ประ=pra (ประชาชน); ประ=pra (ประมาณ); ประ=pra (ประชาธิปไตย); ประ=pra (ประกาศ),y
khr,17,ครับ=khrap (ครับ); ใคร=khrai (ใคร); เครื่อง=khrueang (เครื่อง); ครั้ง=khrang (ครั้ง); โครง=khrong (โครงการ),y
kl,16,กลุ่ม=klum (กลุ่ม); กลับ=klap (กลับ); กล่าว=klao (ดังกล่าว); กล่าว=klao (กล่าว); ใกล้=klai (ใกล้),y
ng,15,งาน=ngan (งาน); งาน=ngan (พนักงาน); เงิน=ngoen (เงิน); งาน=ngan (แรงงาน); งง=ngong (งง),y
f,10,แฟ=fae (กาแฟ); ฝ่าย=fai (ฝ่าย); ไฟ=fai (ไฟฟ้า); ฟัง=fang (ฟัง); ฝั่ง=fang (ฝั่ง),y
-,9,เอง=-eng (ตัวเอง); อา=-a (ร้านอาหาร); อนา=-ana (ผ้าอนามัย); เอียด=-iat (รายละเอียด); โอ=-o (ลีโอ),n
kr,7,กรอบ=krop (กรอบ); กระ=kra (กระ); กรุง=krung (กรุงเทพ); กระ=kra (ผลกระทบ); กระ=kra (กระเทียม),y
tr,6,ตรง=trong (ตรง); ตรวจ=truat (ตรวจสอบ); ตรวจ=truat (ตรวจ); เตรียม=triam (เตรียม); ตรี=tri (นายกรัฐมนตรี),y
phr,5,เพราะ=phro (เพราะ); พร้อม=phrom (พร้อม); พระ=phra (พระ); พริก=phrik (พริก); พร้อม=phrom (พร้อมกับ),y
pl,5,ปลา=pla (ปลา); เปลี่ยน=plian (เปลี่ยน); แปลก=plaek (แปลก); ปล่อย=ploi (ปล่อย); ปลา=pla (ปลาหมึก),y
fr,1,ฟรี=fri (ฟรี),y
ๆ,1,ๆ=ๆ ๆ (ๆๆ),n
